YEAR,TITLE,LECTURER,MAJOR,LOCATION,DESCRIPTION,START,END,TIME,APPOINTMENT,CREDIT,CONTACT
2025ss,Inherent Values – the Invisible in Everyday Objects,"Katharina Mischer, Thomas Traxler",Product Design,R. 208 / R. 213 / tba,"Beschreibung auf Deutsch Dieses Projekt beginnt mit einer gemeinsamen Fragestellung: Welche unsichtbaren Ebenen stecken in Alltagsobjekten? Die Studierenden wählen ein einfaches Objekt – etwa ein Glas, Schneidebrett oder eine Rolle Toilettenpapier – und analysieren es im Detail: Welche Materialien sind enthalten? Woher stammen sie? Wie wurde das Objekt hergestellt? Welche Arbeitsschritte sind nötig? Wie wird es genutzt – und was passiert am Ende seines Lebenszyklus? Die Ergebnisse dieser Recherche werden in einer kurzen Präsentation im Kurs geteilt. Anschliessend wählen die Studierenden einen spezifischen Aspekt – zum Beispiel den Ursprung der Rohstoffe, einen Produktionsschritt, die Recyclingfähigkeit oder eine mögliche Umnutzung – als Ausgangspunkt für ihr eigenes Gestaltungsprojekt. Ziel ist es, diesen „unsichtbaren“ Aspekt sichtbar zu machen – durch eine eigenständige gestalterische Umsetzung: als Objekt, Installation oder andere kommunikative Form. Der Entwurfsprozess wird durch regelmässige Einzelbesprechungen und Feedback begleitet. Schwerpunkt: Materialrecherche, Objektanalyse und die kreative Übersetzung von Information in eine greifbare Form. Design wird als Werkzeug zur Kommunikation und Vermittlung verstanden. Beschreibung auf Englisch This project starts with a shared question: What invisible layers are hidden in everyday objects? Students choose a simple object – such as a glass, cutting board, or roll of toilet paper – and analyze it closely: What materials does it consist of? Where do they come from? How and where was it produced? What processes are involved? How is it used, and what happens at the end of its life cycle? Each student presents their findings in a short presentation to the group. Based on this research, they select one specific aspect – such as the origin of raw materials, a step in the production process, recyclability, or an alternative use – as the foundation for their design project. The aim is to make this “invisible” aspect visible – through an independent creative outcome: as an object, installation, or another form of visual communication. The project is supported through regular one-on-one sessions and feedback. Focus: material research, object analysis, and translating information into tangible, communicative design. Design is approached as a tool for communication and transformation.",30.04.2025,25.07.2025,tba,Weekly feedback mostly on THURSDAYS / bi-weekly in presence / bi-weekly online: // in person: 30.April / 7+8.Mai / 19.Mai / 4.Juni / 26. Juni /10. Juli / 22-25.Juli. /// digital: 15.Mai / 28.Mai / 12.Juni / 3.Juli / 17.Juli,Leistungsschein Produktdesign,ttraxler(at)hfg-karlsruhe.de
2025ss,"Materials, Sanufacturing and Sustainability",Claus Molgaard PhD,Product Design,R. 208 / tba,"The seminar is divided into 3 sub categories: Designing Within Planetary Boundaries – From Philosophy to Absolute Sustainability This lecture traces the historical and theoretical development of sustainability, starting in 1713 with Hans Carl von Carlowitz. We will explore key milestones, including the Club of Rome, the UN Stockholm Conference, the Brundtland Report, and the concept of planetary boundaries, leading up to the idea of Absolute Sustainability and its implications for our future. The lecture will also showcase examples of how planetary boundaries can be integrated into the design phase. Open to all students and anyone interested. Industrial Manufacturing How are the products we use daily manufactured? This session focuses on mass production, examining its processes and impact. Students are required to research and present a specific mass production process, which will be discussed in the classroom. Material Properties and Testing How do we describe and test the mechanical properties of materials? In this session, students will conduct simple mechanical tests on steel, aluminum, and plastic. The results will be presented and discussed in the classroom.",23.06.2025,25.06.2025,10:00 - 18:00,23-25.6.25,Workshop-Nachweis Produktdesign,stefanl(at)hfg-karlsruhe.de
2025ss,Interwoven,Wieki Somers,Product Design,R. 212 or Glaskubus,"(seminar + excursion) INTERWOVEN The textile industry faces notable challenges, including environmental degradation, labor exploitation, and overproduction which results in vast amounts of textile waste. Despite growing calls for sustainable practices, the sector remains entrenched in outdated methods, underscoring the need for systemic reform. However, advances in both traditional and cutting-edge technologies, alongside innovative systems, are creating new possibilities. Increasingly, solutions that are both environmentally and socially responsible are emerging. This seminar will address the challenges facing the textile industry while exploring the technological and creative innovations that are driving its transformation. We will visit key locations, such as museums, research centers, progressive companies and designers, to examine how design and technology are converging in the pursuit of more sustainable textile production. Furthermore, we will investigate how potential collaborations can shape applications ranging from systems and products to installations. Visits in The Netherlands: The TextielMuseum : The TextielMuseum in Tilburg stands as a pivotal institution dedicated to preserving and advancing textile knowledge and techniques. Housed in a former textile factory, the museum boasts a rich collection that chronicles the history of the textile industry while reflecting the evolving practices that shape the future of textile design and production. As a research center, the museum fosters the fusion of traditional craftsmanship and modern technologies, with the TextielLab playing a central role in daily experiments and collaborations among designers, artists, and experts. During our visit, we will explore the full scope of textile production, from raw fibers to advanced weaving and (3D) knitting techniques. A tour of the TextielLab will showcase ongoing projects, including weaving, knitting, laser cutting and embroidery. Additionally, we will delve into the industrialization of textiles, examining the role of early factories and the impact of mechanization. The museum’s extensive archives, including over 20,000 books on textiles and an impressive collection of textile projects and industrial heritage, provide invaluable resources for further research. ByBorre : Founded in 2015 by Borre Akkersdijk, ByBorre is a textile company and platform that challenges traditional textile design and production methods with a focus on sustainability, transparency, and innovation. ByBorre has gained recognition for its integration of digital technologies to address issues such as waste and inefficiency in conventional production processes. It fosters collaboration between knitters, digital specialists, and other creatives to explore new techniques. One of ByBorre’s key initiatives, the Textile Passport, aims to improve transparency within the textile supply chain. Christien Meindertsma (TBC) : Designer Christien Meindertsma examines the life cycles of products and raw materials, often documenting processes or creating commercial products. Her projects highlight local production, underutilized resources, and reveal the hidden processes of industrialization, promoting a deeper understanding of the materials (like wool) and products that surround us. Kvadrat / Febrik : Febrik, a part of Kvadrat, specializes in innovative knitted textiles, bridging a technique traditionally used in fashion with the realm of upholstery. Their designs combine distinct aesthetic qualities with technical performance, continuously evolving through research and development to adapt to a wide range of applications.",24.04.2025,17.07.2025,10:00 - 14:00 or 14:00 - 17:00,"Excursion dates (3 days in The Netherlands) in the period 9-14 May (TBC). Seminar days are held bi-weekly on Thursday afternoons or Friday mornings (exceptionally a day in May, another date will be discussed) Note: we will try to avoid overlaps with other seminars as much as possible on Thursdays, as we will be attending bi-weekly.",Leistungsschein Produktdesign,wsomers(at)hfg-karlsruhe.de
2025ss,"Hang it, Throw it, Hide it!",Stefan Legner,Product Design,R. 208 or Glaskubus,"Wie schaffen wir “Ordnung” ? Wie gehen wir mit unseren Kleidern, aber auch mit jenen alltäglichen Dingen, die heute noch einen Hausstand bestimmen, um? Wohl nur selten so, wie die hierfür tradierten Möbeltypen uns das auftragen. Aber wie dann ? In diesem Seminar soll über aktuelle Ordnungsstrategien und sich daraus ergebende Mobiliare nachgedacht werden. Frei assoziative, ebenso wie analytische und aus der Beobachtung abgeleitete Lösungsansätze sind dabei willkommen.",24.04.2025,23.07.2025,"14:00, tba","Wöchentlich, vorauss. Mittwochs",Leistungsschein Produktdesign,stefanl(at)hfg-karlsruhe.de
2025ss,"Unwind, Unplug, Disassemble - Exhibition Scenography","Wieki Somers, Freia Achenbach",Product Design,tba,"Last semester, students in collaboration with Moroso explored sustainable practices in furniture design through the ‘Unwind, Unplug, Disassemble’ seminar. The project focused on the environmental impact of materials like polyurethane, developing concepts that prioritize relaxation and comfort, alongside extensive material research. They created full-scale prototypes of disassemblable and recyclable designs. Building on this research and the prototypes developed, this semester we are creating a collective exhibition that traces the journey from concept and material research to functional prototype. The exhibition will not only showcase individual projects but also present a cohesive narrative about the potential for change in the furniture industry. Participants will curate, design, and arrange the exhibition. Max. Number of participants 15 students (participants of the seminar have priority)",01.06.2025,27.07.2025,10:00 - 17:00,"2 x 2 days, dates to be confirmed",Workshop-Nachweis Produktdesign,wsomers(at)hfg-karlsruhe.de / fachenbach(at)hfg-karslruhe.de
2025ss,I Can (Not) Tell You a Color Is Good or Bad,"Enzo Zak Lux, Marcel Strauß",Product Design,tba,"Die Wahl der Farbe ist omnipräsenter Bestandteil eines jeden Gestaltungsprozesses. Sie ist in ihrer Relevanz gleichauf mit der Suche nach der perfekten Form oder der optimalen Funktion, dem geeigneten Material, der richtigen Bearbeitung oder dem passenden Format. Trotz der Bedeutung, welche der Farbe beigemessen wird, herrscht oft eine latente Unsicherheit und Überforderung angesichts der schier unendlichen Möglichkeiten, die digitale Tools und diverse Farbfächer und -systeme – über Pantone und HKS bis zu RAL und NCS – bieten. In dieser Lehrveranstaltung wollen wir uns durch Gespräche, Experimente und Auseinandersetzungen mit Materialien und Systemen der Farbe annähern.",15.05.2025,16.05.2025,tba,"Ganztätig, tba",Workshop-Nachweis Produktdesign,hi(at)enzozaklux.xyz
2025ss,Arduino: „Allgegenwärtige Technologie“ / “Ubiquitous Technology”,Maximilian Hans,Product Design,R. 208 tbc,"“The most profound technologies are those that disappear. They weave themselves into the fabric of everyday life until they are indistinguishable from it.” Mark Weiser Unsere Welt wird zunehmend vernetzt und digital – unsere Kaffeemaschine, unsere Rasenmäher und unsere Autos wollen auf einmal mit uns sprechen. Meist mit Computerstimme und oft auch ein bisschen trottelig. Anders als mit unseren Mitmenschen oder Haustieren haben wir aber alle Freiheiten diese Schnittstellen zu gestalten – im sprachlichen Dialog, Gestik oder unserem unterbewussten Verhalten – hin zu einem organischerem Leben und Arbeiten mit der Technologie, die uns umgibt. In diesem Workshop beschäftigen wir uns damit wie man Verhalten abstrahiert, wie man interaktive Schnittstellen gestaltet und wie man sie ausprobiert. Einfache Aktoren und Sensoren kombinieren wir zu Geräten und Maschinen, denen mithilfe von Skripten Leben und Verhalten eingehaucht wird. Es werden erste Kenntnisse in der Arbeit mit Arduino und Elektronik vermittelt. Es sind keine Vorkenntnisse notwendig.",05.05.2025,07.05.25,tba,"Ganztätig, tba",Workshop-Nachweis Produktdesign,fachenbach(at)hfg-karlsruhe.de
2025ss,Spatial Intelligence. What Would ChatGPT Do If It Had a Body?,Maximilian Hans,Product Design,R. 208 tbc,"In einem experimentellen Workshop erforschen wir die Schnittstelle zwischen künstlicher Intelligenz und physischer Interaktion. Mithilfe von Prompts und Abläufen wird einem Sprachmodell wie ChatGPT Schritt für Schritt beigebracht, einen Roboter zu steuern und mit dem Nutzer zu interagieren.Wir arbeiten mit einfachen programmierbaren Robotern, die sich durch Grundbefehle steuern lassen und entwickeln über mehrere Sitzungen hinweg zunehmend komplexere Interaktionen. Der erfordert keine Programmierkenntnisse, aber ein technisches Grundinteresse. Fragen die wir gemeinsam beantworten wollen sind unter anderem: Wie können wir einem Sprachmodell beibringen, mit der physischen Welt zu interagieren? · Welche Bewegungsmuster und Verhaltensweisen können wir entwickeln? · Wieviel Freiheit und wieviel Führung braucht das Modell? · Welche Instruktionen benötigt das System, um sinnvoll im Raum zu agieren? Durch praktische Experimente entwickeln die Teilnehmenden ein Verständnis für das Zusammenspiel von Sprache, Bewegung und Raum. Ziel ist es, neue Interaktionsformen zu entwerfen, die über traditionelle Mensch-Maschine-Schnittstellen hinausgehen.",21.05.2025,23.05.2025,tba,"Ganztätig, tba",Workshop-Nachweis Produktdesign,fachenbach(at)hfg-karlsruhe.de
2025ss,How to Biodesign? – Introduction Bio Design Lab,Julia Ihls,Extra,Bio Design Lab,"Was ist eigentlich Bio Design und wie funktioniert das? Im Kurs werden die grundlegenden Prinzipien der (Mikro-)Biologie erläutert und im Diskurs des Bio Design verortet. Neben der theoretischen Einführung werden Equipment und Werkzeuge des BDL vorgestellt und notwendige Verhaltensweisen zum Arbeiten im Labor vermittelt. Ein praktischer Teil, in dem die Grundlagen sterilen Arbeitens experimentell erprobt werden, dient zur Fundierung des Gelernten. Anmeldung erforderlich. Bei diesem Kurs erwerben die Studierenden die Berechtigung, im Bio Design Lab an den unterwiesenen Maschinen/Stationen zu arbeiten. Der Einführungskurs findet regelmäßig zu Beginn des Semesters statt sowie zusätzlich nach Absprache ab vier Teilnehmenden. What actually is Bio Design and how does it work? In the course, the basic principles of (micro-)biology are explained and situated in the discourse of Bio Design. In addition to the theoretical introduction, equipment and tools of the BDL are presented and necessary behaviors for working in the laboratory are taught. A practical part, in which the basics of sterile work are tested experimentally, serves to substantiate what has been learned. Registration required. In this course, students acquire the authorization to work in the Bio Design Lab at the instructed machines/stations. The introductory course takes place regularly at the beginning of the semester and additionally by arrangement with four or more participants.",14.05.2025,14.05.2025,10:00 - 15:00,14.05.2025,Kein Scheinerwerb möglich,biodesignlab(at)hfg-karlsruhe.de
2025ss,Blast or Bless: Eine Einführung in den Siebdruck,Tjark Schönfeld,Extra,"R. 016, R. 014 (Druckwerkstatt)","Der Kurs vermittelt die Grundlagen und Grundfertigkeiten des Siebdruckes und ist für Studierende aller Fachbereiche geeignet (*) . Erfolgreiche Kursteilnehmer*innen erhalten den Grundlagennachweis der zur eigenständigen Benutzung der Siebdruckwerkstatt berechtigt. Der Workshop wird die folgenden Themen behandeln • Die historische Entwicklung des Siebdrucks • Sicherheit am Arbeitsplatz • Experimentelles Drucken ohne die Beschichtung des Siebes • Druckvorstufe und Bildbearbeitung • Beschichtung und Belichtung des Siebes • Anmischen von Farbe und Druckvorbereitung • Mehr-Farbdruck: Registrierung und Drucken eines mehrfarbigen Posters das ihr selber entwerft • Reinigung und Entschichten des Siebes • Einführung: Automatisiertes Drucken Auskommen • Finaler Mehr-Farbdruck zum Thema Blast or Bless – Design Prinzipien • Kurslogbuch • Um den Grundlagennachweis (Schein) zu erhalten muss der Kurs an allen vier Tagen besucht werden, ein mehrfarbiges Poster entworfen und gedruckt werden, sowie ein vollständiges Kurslogbuch eingereicht werden. * Ein vier-tägiger Grundlagenkurs, der verpflichtend für das erste Jahr des Kommunikationsdesign Studiums ist, ist für Anfang April 2025 angesetzt.",26.05.2025,27.06.2025,10:00 - 16:00,Mai (26.05. - 28.05. & 30.05.) und Juni (24.06. - 27.06.),Grundlagennachweis,tschoenfeld(at)hfg-karlsruhe.de
2025ss,Einführungskurs Modellbauwerkstatt Teil I,"Susanne Schmitt, Julian Kuf",Extra,R. 04 (Modellbauwerkstatt),"In diesem Kurs lernt ihr die Räumlichkeiten der Modellbauwerkstatt und ihre Möglichkeiten kennen. Wir erklären die Werkstattordnung, zeigen Euch die organisatorischen Abläufe und führen Euch durch die Werkstatt. Dabei wird auf die gängigsten Maschinen und Werkzeuge eingegangen und deren Fertigungsprozesse vorgestellt. Nach erfolgreicher Teilnahme seid ihr berechtigt, in den Handarbeitsräumen der Werkstatt zu arbeiten und Handwerkzeuge zu verwenden. Diese Einführung richtet sich an alle Semester und Fachbereiche. Die Teilnahme ist bindend für die Nutzung der Modellbauwerkstatt. Dauer: 1 h Teilnehmerzahl: min. 3 Personen / max. 15 Personen Im Sommersemester werden hierfür zwei Termine angeboten: Montag, den 28.04.25, 10:00 - 11:00 Uhr Freitag, den 09.05.25, 10:00 - 11:00 Uhr",28.04.2025,09.05.2025,10:00 - 11:00,"28.04.25 , 09.05.25",Kein Scheinerwerb möglich,modellbau(at)hfg-karlsruhe.de
2025ss,Einführungskurs Modellbauwerkstatt Teil II,"Susanne Schmitt, Julian Kuf",Extra,R. 04 (Modellbauwerkstatt),"In diesem Kurs werdet ihr in die Unfallverhütungsvorschriften und Betriebsanweisungen der grundlegenden Maschinen und Bearbeitungsprozesse eingewiesen. Ihr macht praktische Übungen an handgeführten-, sowie standortbezogenen Maschinen der einzelnen Fertigungstechniken. Im Vordergrund stehen sicheres und fachgerechtes Arbeiten sowie die richtige Auswahl von und Umgang mit Werkzeugen und Material. Wichtig: Kein sofortiger Scheinerwerb möglich! Dieser Kurs berechtigt Euch, an den unterwiesenen Maschinen in der Werkstatt zu arbeiten. Er richtet sich an alle Semester und Fachbereiche und kann auch als Nachschulung wahrgenommen werden. Dauer: 3 h Teilnehmerzahl: min. 3 Personen / max. 6 Personen Im Sommersemester werden hierfür zwei Termine angeboten: Montag, den 12.05.25, 10:00 - 13:00 Uhr Freitag, den 23.05.25, 10:00 - 13:00 Uhr",12.05.2025,23.05.2025,10:00 - 13:00,"12.05.25 , 23.05.25",Kein Scheinerwerb möglich,modellbau(at)hfg-karlsuhe.de
2025ss,Einführung in spezielle Bereiche der Modellbauwerkstatt Teil III,"Susanne Schmitt, Julian Kuf",Extra,"R. 04, R. 07 (Modellbauwerkstatt)","Diese Kurse führen Euch in spezifische Prozesse der Modellbauwerkstatt ein. Jede Einführung ist auf ein bestimmtes Material oder eine Technik ausgerichtet und stellt sicher, dass ihr die notwendigen Sicherheitsvorkehrungen und theoretischen Grundlagen für die Arbeit in der Werkstatt erlernt. Die Einführungen sind für alle Semester und Fachgruppen offen und können auch als Nachschulung wahrgenommen werden. Einführungskurse: - Schweißen 26.05. / 23.06. - Drechseln 02.06. / 30.06. Dauer: 2 h Teilnehmerzahl: min. 3 Personen / max. 6 Personen • Schweißen Dieser Kurs vermittelt die theoretischen Grundlagen und sicherheitsrelevanten Aspekte des Schweißens sowie organisatorische Vorbereitungsschritte für Eure Schweißprojekte. Ihr erhaltet einen Einblick in die verfügbaren Schweißverfahren (WIG, MAG) sowie das Hartlöten. Wir sprechen über die richtige Materialauswahl, Gefahrenquellen und den sicheren Umgang mit den Maschinen, welche für die Vorbereitung eines Schweißprojekts notwendig sind. Der Kurs ist Voraussetzung für eine spätere praktische Einführung am Schweißgerät, bei der ihr eigene Studienprojekte unter Anleitung umsetzen könnt. Termine für eigene Schweißprojekte werden im Anschluss individuell nach Absprache festgelegt. Im Sommersemester werden hierfür zwei Termine angeboten: Montag, den 26.05.25, 10:00 - 12:00 Uhr Montag, den 23.06.25, 10:00 - 12:00 Uhr • Drechseln In diesem Kurs erhaltet ihr eine theoretische und praktische Einführung in das Drechselhandwerk. Zunächst wird der sichere Umgang mit der Drechselbank und den dazugehörigen Werkzeugen erklärt. Wir sprechen über die richtige Materialauswahl und die Bearbeitungsschritte. Ihr lernt, wie Holzrohlinge richtig eingespannt werden, welche Techniken beim Drechseln anzuwenden sind und welche Sicherheitsmaßnahmen beachtet werden müssen. Der Kurs ist Voraussetzung für das eigenständige Arbeiten unter Aufsicht an der Drechselbank. Im Sommersemester werden hierfür zwei Termine angeboten: Montag, den 02.06.25, 10:00 – 12:00 Uhr Montag, den 30.06.25, 10:00 – 12:00 Uhr",28.04.2025,18.07.2025,10:00 - 12:00,- Schweißen 26.05. / 23.06. - Drechseln 02.06. / 30.06.,Kein Scheinerwerb möglich,modellbau(at)hfg-karlsruhe.de
2025ss,ReCaptured,"Simon Gehring, Jannik Lang, Sören Göbel",Extra,Computer Raum Z1 + Fotostudio,"This seminar is dedicated to the digital capture, transformation and recontextualisation of spaces, objects and moments. The use of the latest 3D scanning technologies and digital visualisation methods opens up new possibilities for creative design and interpretation. The focus is on various 3D scanning techniques - from photogrammetry to high-precision structured light scans. The captured data is then further developed using digital processing methods, alienated or placed in new contexts. The combination of algorithms, textures and light creates unique digital artefacts that can be experienced both in virtual environments and through physical media. The seminar pursues an experimental and interdisciplinary approach. Whether in architecture, design, art or research - the methods taught make it possible not only to document digital images of reality, but also to reinterpret them and develop them further in terms of design and so much more. The programme concludes with a joint presentation of the resulting works, in which the participants reflect on and present their individual projects and creative processes.",01.06.2025,02.07.2025,10:00 - 17:00,BlockSeminar,Kein Scheinerwerb möglich,sgehring(at)hfg-karlsruhe.de
2025ss,Kino im Blauen Salon: Cinema Poetico,"Julia Senger, Knut Kuhles, Pavel Polenz, Philip Lawall, Luise Peschko, Jason Stewart, Mustafa Emin Büyükcoşkun, Moritz Schneider, Yaël Kolb",Extra,R. 012 (Blauer Salon),"Kino im Blauen Salon invites you to the Summer Semester of cinema: This summer, the focus is on poetry, which stands to reason, as the nights are getting longer, the horizon endless and there's something in the air... but what does cinema have to do with poetry?! Find out in the “Cinema Poetico” film series, a world of multiple narrative strands, meandering perspectives, visual detours and everything that lies between the lines. The series presents a hand-picked selection of classics and hidden gems that form the silent branches of cinema. There are also nocturnal excursions with the “Midnight Movies”, experimental short films, specials, guests and, of course, the highlight of the cinema year, the open-air cinema in front of the HfG! A specially curated program of short film is presented before each film. Film introductions are held in english or german as required. 11.04. Solaris (1972) + La Jetée (1962) 21.04. The Night of the Hunter (1955) 05.05. News from Home (1976) 19.05. Tokyo Monogatari (1953) 23.05. Open Air: 12 Angry Men (1957) 24.05. Open Air: Touki Bouki (1973) 25.05. Open Air: Orlando (1992) 29.05. Open Air: Die allseitig reduzierte Persönlichkeit – Redupers (1978) 30.05. Open Air: Kult Sneak 31.05. Open Air: Der Letzte Mann (1924): Stummfilm mit Livebegleitung 01.06. Open Air: Pippi außer Rand und Band (1970) 04.06. The Archiveology of Cinema 13.06. Audition (1999) 27.06. Chihiros Reise ins Zauberland (2001) 05.07. Aktwechsel - 35mm Workshop 07.07. L’Eclisse (1962) 18.07. Die Simpsons – Der Film (2007) 21.07. Sicilia! (1999) + À propos de Nice (1930) 02.08. Aktwechsel - 35mm Workshop You want to join us? Get in touch, we are always happy to see new faces! Write us here: info(at)kinoimblauensalon.de More infos and times on www.kinoimblauensalon.de",11.04.2025,02.08.2025,"Cinema Poetico: 19:00, Open Air: 21:15, Specials: See website","11.04., 21.04., 05.05., 19.05., 23.05., 24.05., 25.05., 29.05., 30.05., 31.05., 01.06., 04.06., 13.06., 27.06., 05.07., 07.07., 18.07., 21.07., 02.08.",Kein Scheinerwerb möglich,nhain(at)hfg-karlsruhe.de
2025ss,Growing and Harvesting,"Julia Ihls, Pleun van Dijk, Jaap Knevel, Fara Peluso, Simon Gehring, Freia Achenbach, Filipa César, Stefan Kudermann, Erik van Schaften",Media Art,Living Library/Bio Design Lab and local excursion destinations (tba),"What responsibility do we have as designers when choosing our materials? What stories do their production methods tell us and what can we learn from local manufacturers and regional 'tactic knowledge'? The Living Library (LL) project deals with these questions. In a one-year teaching program (10/2024 – 10/2025) we will explore the immediate region in a radical deep dive (50km radius around the HfG), get to know the network around local materials, manufacturers and production methods and present our results continuously hybrid in the analog LL display at the HfG and on the LL/BDL website. A documentary open- access publication will then be published at the end of the project (03/2026). In addition to a general overview of material design, speculative mapping and bioregional practices, you will get to know various concrete material narratives theoretically and practically. Together with international guests from art, design and sciences, we will explore the surrounding area in compact activation units with local day excursions, deepen the respective focal points in public lectures/panels and apply the knowledge gained in practice in subsequent day workshops. The second module in the summer semester 2025 “GROWING AND HARVESTING” comprises a general introduction and three activation units/topic blocks: 0) General introduction (28.04., 13:00 - 15:00) with LL team Julia Ihls, Jaap Knevel, Pleun van Dijk & Fara Peluso 1) Wood (05. - 06.05., all day) with Simon Gehring & Stefan Kuderman/Zentrum Holzbau 2) Invasive Plants (02. - 03.06., all day) with Filipa Cesar & Erik van Schaften 3) Hemp (30.06. - 01.07., all day) with Freia Achenbach & tba The “GROWING AND HARVESTING” program with its 3 units is a mandatory part of the seminar “THE NEST”. The workshops can also be attended individually if required. In this case, one Workshop-Schein will be credited.",28.04.2025,01.07.2025,"09:00 - 17:00 , Public morning program on Tuesdays: 09:00 - 10:00",28.04.: 13:00 - 15:00 Uhr / 05.- 06.05. + 02.- 03.06. + 30.06.- 01.07.: 09:00 – 17:00 Uhr,Workshop-Nachweis Medienkunst; Workshop-Nachweis Produktdesign,livinglibrary(at)hfg-karlsruhe.de
2025ss,Beratung Zum Berufseinstieg Für Künstler:Innen Und Kulturschaffende,Julia Bär,Extra,tba,"Zwischen Kunst und Kommerz ist der Berufseinstieg für Künstler:innen ein Drahtseilakt. Freiberuflichkeit oder eine feste Stelle? Wir unterstützen Sie auf Ihrem individuellen Weg, beraten Sie bei der Zielfindung und helfen bei der Stellensuche. Geld für meine Ziele? Informationen über finanzielle Hilfen der Agentur für Arbeit oder des Jobcenters. Zur Dozentin Julia Bär, Dipl.Ing., ist Beraterin im Hochschulteam der Agentur für Arbeit Karlsruhe-Rastatt. Verbindliche Anmeldung zum einstündigen und individuellen Einzelgespräch bitte bis 25.04.25 an: Julia Bär, Julia.Baer(at)arbeitsagentur.de https://www.arbeitsagentur.de/vor-ort/karlsruhe-rastatt/berufsberatung/hochschulteam",21.05.2025,21.05.2025,11:00 - 15:00,21.05.25,Kein Scheinerwerb möglich,jstegman(at)hfg-karlsruhe.de
2025ss,Nach Dem Diplom - Orientierung in Der Kultur- Und Kreativwirtschaft,Jörg Stegmann,Extra,tba,"Auch wenn der Begriff sperrig ist, wir gehören dazu: Kunst, Design, Darstellendes, Film, Musik, Literatur, Games und weitere bilden die Grundlage der Kultur- und Kreativwirtschaft. Was wir besprechen können: - Individuelle Standortbestimmung - Business Modelling in Kunst und Design, Honorare und Finanzen - Bürokratie: Versicherungen, Künstlersozialkasse, Finanzamt und die entsprechenden Prozesse - Zeitplan und gemeinsame Recherche nach externen Beratungs- und Weiterbildungsangeboten Verbindliche Anmeldung zum Einzel- oder Gruppengespräch an: jstegman(at)hfg-karlsruhe.de Das Angebot richtet sich an Studierende aller Fachgruppen ab dem 4. Studienjahr sowie Alumni direkt nach dem Abschluss.",13.05.2025,24.07.2025,11:00 - 13:00,"Dienstags, Donnerstags nach Vereinbarung",Kein Scheinerwerb möglich,jstegman(at)hfg-karlsruhe.de
2025ss,Inklusives Gestalten mit Keramik – Ein kollaborativer Workshop mit Ahoi studios und der HfG Karlsruhe,Simon Gehring,Extra,"Seminarraum Werkstatt, Ahoi Studios","AHOI studios ist ein interdisziplinäres Künstler:innen-Kollektiv, das sich für Inklusion in der Kunst einsetzt. Viele Menschen mit Beeinträchtigungen haben nur eingeschränkten Zugang zu Bildungsangeboten, die ihnen eine künstlerische Qualifikation ermöglichen. AHOI studios setzt sich für einen gleichberechtigten und barrierefreien Zugang zur Kunst ein – nicht nur im Bereich der Ausbildung, sondern auch in Hinblick auf die aktive Teilnahme am Kunstmarkt. In einem kollaborativen Workshop mit Studierenden der HfG Karlsruhe entsteht eine Plattform für gemeinsames kreatives Arbeiten. Im Mittelpunkt steht die Gestaltung und Umsetzung von keramischen Objekten, die aus einem dialogischen und experimentellen Prozess heraus entwickelt werden. Dabei geht es nicht nur um die handwerkliche und gestalterische Praxis, sondern auch um den Austausch von Perspektiven, Methoden und künstlerischen Herangehensweisen. Der Workshop bietet die Möglichkeit, Keramik als inklusives, vielseitiges Medium zu erforschen, das taktile, materielle und formale Qualitäten vereint. Durch gemeinsames Modellieren, oder Gußformen erstellen oder Drucken und Brennen werden individuelle wie kollektive Werke geschaffen, die im Anschluss präsentiert werden. Mit diesem Projekt soll ein Raum entstehen, in dem barrierefreie Kunstproduktion nicht nur diskutiert, sondern aktiv praktiziert wird – als Teil einer offenen, vielfältigen und zukunftsweisenden Gestaltungskultur. Bei besonderer Leistung kann ein Workshopschein vergeben werden, dies wird von der Fachgruppe geprüft.",14.05.2025,25.06.2025,10:00 - 14:00,"14.05., 04.06., 11.06., 18.06., 25.06. + Präsentation tba",Grundlagennachweis; Workshop-Nachweis Produktdesign,sgehring(at)hfg-karlsruhe.de
2025ss,Capturing Realities,"Simon Gehring, Sören Göbel, Jannik Lang",N/A,Computer Raum Z1,"This seminar is dedicated to the digital capture, transformation and re-contextualisation of spaces, objects and moments. The use of the latest 3D scanning technologies and digital visualisation methods opens up new possibilities for creative design and interpretation. The focus is on various 3D scanning techniques - from photogrammetry to high-precision structured light scans. The captured data is then further developed using digital processing methods, alienated or placed in new contexts. The combination of algorithms, textures and light creates unique digital artefacts that can be experienced both in virtual environments and through physical media. The seminar pursues an experimental and interdisciplinary approach. Whether in architecture, design, art or research - the methods taught make it possible not only to document digital images of reality, but also to reinterpret them and develop them further in terms of design. The programme concludes with a joint presentation of the resulting works, in which the participants reflect on and present their individual projects and creative processes. A workshop certificate may be awarded for exceptional performance; this will be reviewed by the department.",29.04.2025,09.07.2025,tba,tba,Grundlagennachweis; Workshop-Nachweis Produktdesign,sgehring(at)hfg-karlsruhe.de
